weight_name,tx_bps,slip_bps,avg_return,sharpe_like,hit_rate,turnover_avg,periods
w4_tech_up,20,0,0.5620869280444966,50.6727549362588,1.0,0.0719758064516129,496
w4_tech_up,20,5,0.5620509401412707,50.66879984438557,1.0,0.0719758064516129,496
w4_tech_up,20,10,0.5620149522380449,50.66484431563294,1.0,0.0719758064516129,496
w5_ret_high,0,0,0.5660240145792238,50.98382241720926,1.0,0.07389112903225807,496
w5_ret_high,10,0,0.5650240145792237,50.89374881413941,1.0,0.07389112903225807,496
w5_ret_high,10,5,0.5649870690147076,50.88962221742992,1.0,0.07389112903225807,496
w5_ret_high,10,10,0.5649501234501915,50.88549516825238,1.0,0.07389112903225807,496
w5_ret_high,20,0,0.5640240145792238,50.80367521106957,1.0,0.07389112903225807,496
w5_ret_high,20,5,0.5639870690147076,50.79955002815632,1.0,0.07389112903225807,496
w5_ret_high,20,10,0.5639501234501915,50.79542439376085,1.0,0.07389112903225807,496
w6_prob_high,0,0,0.5575529532986424,50.74541652460616,1.0,0.07379032258064516,496
w6_prob_high,10,0,0.5565529532986424,50.65440200082975,1.0,0.07379032258064516,496
w6_prob_high,10,5,0.556516058137352,50.65079353785673,1.0,0.07379032258064516,496
w6_prob_high,10,10,0.5564791629760618,50.64718453114082,1.0,0.07379032258064516,496
w6_prob_high,20,0,0.5555529532986425,50.563387477053354,1.0,0.07379032258064516,496
w6_prob_high,20,5,0.5555160581373522,50.5597794641436,1.0,0.07379032258064516,496
w6_prob_high,20,10,0.5554791629760618,50.556170908527754,1.0,0.07379032258064516,496
w7_qual_high,0,0,0.5630531097986277,50.924689339583864,1.0,0.07036290322580646,496
w7_qual_high,10,0,0.5620531097986278,50.83424549254111,1.0,0.07036290322580646,496
w7_qual_high,10,5,0.5620179283470147,50.83050667561624,1.0,0.07036290322580646,496
w7_qual_high,10,10,0.5619827468954018,50.826767396656074,1.0,0.07036290322580646,496
w7_qual_high,20,0,0.5610531097986277,50.74380164549833,1.0,0.07036290322580646,496
w7_qual_high,20,5,0.5610179283470147,50.7400638194157,1.0,0.07036290322580646,496
w7_qual_high,20,10,0.560982746895402,50.73632553224398,1.0,0.07036290322580646,496
w8_tech_high,0,0,0.5630531097986277,50.924689339583864,1.0,0.07036290322580646,496
w8_tech_high,10,0,0.5620531097986278,50.83424549254111,1.0,0.07036290322580646,496
w8_tech_high,10,5,0.5620179283470147,50.83050667561624,1.0,0.07036290322580646,496
w8_tech_high,10,10,0.5619827468954018,50.826767396656074,1.0,0.07036290322580646,496
w8_tech_high,20,0,0.5610531097986277,50.74380164549833,1.0,0.07036290322580646,496
w8_tech_high,20,5,0.5610179283470147,50.7400638194157,1.0,0.07036290322580646,496
w8_tech_high,20,10,0.560982746895402,50.73632553224398,1.0,0.07036290322580646,496
w9_risk_low,0,0,0.5627904457304505,50.917646920647776,1.0,0.06935483870967743,496
w9_risk_low,10,0,0.5617904457304504,50.82717337528657,1.0,0.06935483870967743,496
w9_risk_low,10,5,0.5617557683110955,50.82348016823947,1.0,0.06935483870967743,496
w9_risk_low,10,10,0.5617210908917407,50.819786493532135,1.0,0.06935483870967743,496
w9_risk_low,20,0,0.5607904457304503,50.73669982992536,1.0,0.06935483870967743,496
w9_risk_low,20,5,0.5607557683110956,50.733007612308214,1.0,0.06935483870967743,496
w9_risk_low,20,10,0.5607210908917407,50.72931492798553,1.0,0.06935483870967743,496
w10_risk_high,0,0,0.5627584718955815,50.87377221403816,1.0,0.06985887096774195,496
w10_risk_high,10,0,0.5617584718955816,50.78337149196165,1.0,0.06985887096774195,496
w10_risk_high,10,5,0.5617235424600976,50.77960030051538,1.0,0.06985887096774195,496
w10_risk_high,10,10,0.5616886130246138,50.77582863009076,1.0,0.06985887096774195,496
w10_risk_high,20,0,0.5607584718955815,50.69297076988513,1.0,0.06985887096774195,496
w10_risk_high,20,5,0.5607235424600977,50.689200670693715,1.0,0.06985887096774195,496
w10_risk_high,20,10,0.5606886130246137,50.6854300935125,1.0,0.06985887096774195,496
w11_balanced_plus,0,0,0.5626268942144156,50.972264653600384,1.0,0.07016129032258066,496
w11_balanced_plus,10,0,0.5616268942144157,50.8816677319499,1.0,0.07016129032258066,496
w11_balanced_plus,10,5,0.5615918135692543,50.87800405563132,1.0,0.07016129032258066,496
w11_balanced_plus,10,10,0.5615567329240929,50.87433988694526,1.0,0.07016129032258066,496
w11_balanced_plus,20,0,0.5606268942144156,50.7910708102994,1.0,0.07016129032258066,496
w11_balanced_plus,20,5,0.5605918135692542,50.78740799844831,1.0,0.07016129032258066,496
w11_balanced_plus,20,10,0.5605567329240931,50.78374469521453,1.0,0.07016129032258066,496
