weight_name,tx_cost_bps,slip_bps_per_turnover,avg_return_adj,hit_rate_adj,sharpe_like_adj,turnover_avg
w5_ret_high,0,5,0.4720410102492328,1.0,2.25428612435249,0.10574866310160431
w5_ret_high,0,10,0.47198813591768196,1.0,2.2539964212537336,0.10574866310160431
w5_ret_high,10,0,0.4710938845807836,1.0,2.2498000786505066,0.10574866310160431
w5_ret_high,10,5,0.4710410102492328,1.0,2.2495105093626777,0.10574866310160431
w5_ret_high,10,10,0.470988135917682,1.0,2.249220885070242,0.10574866310160431
w5_ret_high,20,0,0.47009388458078355,1.0,2.2450243849888225,0.10574866310160431
w5_ret_high,20,5,0.4700410102492328,1.0,2.244734894372865,0.10574866310160431
w5_ret_high,20,10,0.46998813591768196,1.0,2.24444534888675,0.10574866310160431
w6_prob_high,0,0,0.4660095416953907,1.0,2.275903736248021,0.11069518716577542
w6_prob_high,0,5,0.46595419410180783,1.0,2.2755893768719586,0.11069518716577542
w6_prob_high,0,10,0.465898846508225,1.0,2.2752749678810678,0.11069518716577542
w6_prob_high,10,0,0.46500954169539077,1.0,2.2710199226506256,0.11069518716577542
w6_prob_high,10,5,0.46495419410180777,1.0,2.2707056578161433,0.11069518716577542
w6_prob_high,10,10,0.46489884650822494,1.0,2.2703913434957883,0.11069518716577542
w6_prob_high,20,0,0.46400954169539077,1.0,2.2661361090532304,0.11069518716577542
w6_prob_high,20,5,0.4639541941018079,1.0,2.265821938760329,0.11069518716577542
w6_prob_high,20,10,0.46389884650822505,1.0,2.2655077191105093,0.11069518716577542
w7_qual_high,0,0,0.4706748639377061,1.0,2.275171557407912,0.10601604278074868
w7_qual_high,0,5,0.4706218559163157,1.0,2.2748678376250147,0.10601604278074868
w7_qual_high,0,10,0.47056884789492537,1.0,2.274564066545289,0.10601604278074868
w7_qual_high,10,0,0.46967486393770613,1.0,2.2703377076918394,0.10601604278074868
w7_qual_high,10,5,0.4696218559163157,1.0,2.270034088811552,0.10601604278074868
w7_qual_high,10,10,0.46956884789492537,1.0,2.26973041876618,0.10601604278074868
w7_qual_high,20,0,0.46867486393770613,1.0,2.2655038579757663,0.10601604278074868
w7_qual_high,20,5,0.4686218559163158,1.0,2.2652003399980902,0.10601604278074868
w7_qual_high,20,10,0.46856884789492537,1.0,2.2648967709870704,0.10601604278074868
w8_tech_high,0,0,0.4706748639377061,1.0,2.275171557407912,0.10601604278074868
w8_tech_high,0,5,0.4706218559163157,1.0,2.2748678376250147,0.10601604278074868
w8_tech_high,0,10,0.47056884789492537,1.0,2.274564066545289,0.10601604278074868
w8_tech_high,10,0,0.46967486393770613,1.0,2.2703377076918394,0.10601604278074868
w8_tech_high,10,5,0.4696218559163157,1.0,2.270034088811552,0.10601604278074868
w8_tech_high,10,10,0.46956884789492537,1.0,2.26973041876618,0.10601604278074868
w8_tech_high,20,0,0.46867486393770613,1.0,2.2655038579757663,0.10601604278074868
w8_tech_high,20,5,0.4686218559163158,1.0,2.2652003399980902,0.10601604278074868
w8_tech_high,20,10,0.46856884789492537,1.0,2.2648967709870704,0.10601604278074868
w9_risk_low,0,0,0.4696208311763663,1.0,2.2747123721507068,0.10788770053475936
w9_risk_low,0,5,0.4695668873260989,1.0,2.274399307786764,0.10788770053475936
w9_risk_low,0,10,0.46951294347583156,1.0,2.274086194340734,0.10788770053475936
w9_risk_low,10,0,0.46862083117636627,1.0,2.2698686509587556,0.10788770053475936
w9_risk_low,10,5,0.4685668873260989,1.0,2.2695556968568322,0.10788770053475936
w9_risk_low,10,10,0.46851294347583156,1.0,2.2692426938026964,0.10788770053475936
w9_risk_low,20,0,0.4676208311763664,1.0,2.265024929766805,0.10788770053475936
w9_risk_low,20,5,0.4675668873260989,1.0,2.2647120859269,0.10788770053475936
w9_risk_low,20,10,0.4675129434758315,1.0,2.2643991932646585,0.10788770053475936
