code,name,market,sector,listed_at,delisted_at
122870,와이지엔터테인먼트,KOSDAQ,인터넷/플랫폼·콘텐츠,,
232140,와이씨,KOSDAQ,반도체와반도체장비,,
440110,파두,KOSDAQ,반도체,,
376900,로킷헬스케어,KOSDAQ,건강관리장비와용품,,
389470,인벤티지랩,KOSDAQ,제약,,
328130,루닛,KOSDAQ,건강관리기술,,
424870,이뮨온시아,KOSDAQ,제약,,
388720,유일로보틱스,KOSDAQ,기계/중공업·방산,,
161580,필옵틱스,KOSDAQ,전자장비와기기,,
468530,프로티나,KOSDAQ,생물공학,,
397030,에이프릴바이오,KOSDAQ,바이오/제약,,
115180,큐리언트,KOSDAQ,바이오/제약,,
281740,레이크머티리얼즈,KOSDAQ,2차전지,,
137400,피엔티,KOSDAQ,전기제품,,
101490,에스앤에스텍,KOSDAQ,반도체와반도체장비,,
213420,덕산네오룩스,KOSDAQ,디스플레이장비및부품,,
287840,인투셀,KOSDAQ,제약,,
112040,위메이드,KOSDAQ,인터넷/플랫폼·콘텐츠,,
031980,피에스케이홀딩스,KOSDAQ,반도체와반도체장비,,
319660,피에스케이,KOSDAQ,반도체와반도체장비,,
006730,서부T&D,KOSDAQ,"호텔,레스토랑,레저",,
486990,노타,KOSDAQ,IT서비스,,
086900,메디톡스,KOSDAQ,생물공학,,
183300,코미코,KOSDAQ,반도체,,
036830,솔브레인홀딩스,KOSDAQ,반도체,,
056190,에스에프에이,KOSDAQ,기계,,
166090,하나머티리얼즈,KOSDAQ,반도체와반도체장비,,
086450,동국제약,KOSDAQ,바이오/제약,,
218410,RFHIC,KOSDAQ,통신장비,,
336370,솔루스첨단소재,KOSPI,2차전지,,
462350,이노스페이스,KOSDAQ,항공,,
097230,HJ중공업,KOSPI,조선,,
018880,한온시스템,KOSPI,자동차부품,,
